FID,Shape,latitude,longitude,hwmTypeNam,hwmQuality,Uncertainty,hwm_id,elev_,Flood,Type,Mean gauge height,Rain,HAND,Curvature,Soil moisture,Flow accumulation,Slope,Altitude,Storm surge,Distance to river,Distance to storm track,Distance to sea,TWI,Tide,Wind speed
0,Point,29.724094,-85.385657,Seed line,Excellent: +/- 0.05 ,0.05,34662,10.42,4.21,HWMs,0,76.1,1.16826,-1217990000,0.000002,1,2.50935,3.79302,7.11383,0.0002,0.297018,0.000367,-5.93E-11,7.111220182,74.2403
1,Point,29.68365,-85.32219,Debris,VP: > 0.40 ,0.4,34792,10.89,0,HWMs,0,74.9,3.15788,11554100000,0.075505,44,3.74615,10.1773,7.11383,0.001914,0.372058,0.001338,2.378891294,7.104324414,77.6389
2,Point,29.68383,-85.32214,Seed line,Excellent: +/- 0.05 ,0.05,34793,10.96,0,HWMs,0,74.9,2.07677,-5259810000,0.075505,86,1.22596,6.19419,7.11383,0.001749,0.37199,0.001164,0.694848129,7.105559129,77.6389
3,Point,29.7089,-85.37972,Seed line,Excellent: +/- 0.05 ,0.05,34656,10.5,5.69,HWMs,0,75.5,1.446,-1676660000,0.075505,6,1.94619,3.68278,7.11383,0.001613,0.310884,0.001989,-0.306654869,7.099708679,74.3519
4,Point,29.68279,-85.3672,Seed line,Excellent: +/- 0.05 ,0.05,34663,8.05,1.69,HWMs,0,71.5,1.95054,2656620000,0.075505,25,1.14309,5.378,7.11383,0.002747,0.336566,0.00201,0.637247915,7.099559885,75.772
5,Point,29.685,-85.31143,Seed line,Excellent: +/- 0.05 ,0.05,34788,10.91,3.64,HWMs,0,75.1,2.4849,3569220000,0.075505,0,0.864763,8.08288,7.32313,0.002367,0.379856,0.002587,-8.526548552,7.304233947,78.2599
6,Point,29.68494,-85.31142,Seed line,Excellent: +/- 0.05 ,0.05,34789,11.03,3.76,HWMs,0,75.1,2.4849,3569220000,0.075505,1,0.408564,8.17502,7.32313,0.002306,0.3799,0.002526,1.00E-10,7.304678382,78.2599
7,Point,29.701726,-85.305489,Seed line,Excellent: +/- 0.05 ,0.05,34811,10.99,5.82,HWMs,0,78.4,1.46004,-952824000,0.075505,1,0.948815,5.14171,7.32313,0.002927,0.374573,0.008657,3.11E-11,7.260277775,78.874
8,Point,29.685264,-85.315919,Seed line,Excellent: +/- 0.05 ,0.05,34790,10.9,5.51,HWMs,0,74.9,1.31953,-6184070000,0.075505,0,1.90417,3.92646,7.32313,0.001596,0.376106,0.001624,3.462987265,7.311256519,78.2599
9,Point,29.685217,-85.296617,Seed line,Excellent: +/- 0.05 ,0.05,34849,11.42,4.1,HWMs,0,74.9,-9999,-3751040000,0.075505,0,0.985502,6.83404,7.32313,0.001446,0.391576,0.001554,-6.627617521,7.311767513,78.9043
10,Point,29.7178,-85.3041,Seed line,Good: +/- 0.10 ,0.1,34815,12.05,7.92,HWMs,0,81.3,1.07647,-1965690000,0.075505,0,0.584855,3.78158,7.32313,0.000569,0.36604,0.005024,-15.10278273,7.286522511,78.8165
11,Point,29.711957,-85.303043,Seed line,Good: +/- 0.10 ,0.1,34813,10.28,5.59,HWMs,0,80.4,1.56262,4805220000,0.075505,4,1.11365,4.63356,7.32313,0.002698,0.370391,0.007459,0.296153078,7.268911191,78.8165
12,Point,29.738925,-85.393813,Seed line,Excellent: +/- 0.05 ,0.05,34667,10.29,0.98,HWMs,0,76.1,1.92051,-1001600000,0.000002,0,2.26383,7.74753,6.54467,0.003093,0.281595,0.0029,8.304490727,6.525745339,73.2195
13,Point,29.738926,-85.393814,Seed line,Excellent: +/- 0.05 ,0.05,34668,10.35,0.98,HWMs,0,76.1,1.92051,-1001600000,0.000002,0,2.26383,7.74753,6.54467,0.003092,0.281593,0.002899,8.304490727,6.525751845,73.2195
14,Point,29.761398,-85.402348,Seed line,Excellent: +/- 0.05 ,0.05,34478,9.56,2.15,HWMs,0,75.5,2.4832,1063130000,0.000002,6,2.18213,7.77981,6.442,0.001791,0.261283,0.001794,-0.545410781,6.430463748,72.8954
15,Point,29.748481,-85.397603,Seed line,Good: +/- 0.10 ,0.1,34486,9.24,1.18,HWMs,0,76.2,1.80312,2340450000,0.000002,0,1.22125,6.02607,6.50866,0.002726,0.272829,0.002411,-3.645144566,6.493005364,73.0669
16,Point,29.775995,-85.402376,Seed line,Fair: +/- 0.20 ,0.2,34842,10.05,5.2,HWMs,0,72.2,0.768477,-13711100000,0.000002,10,2.5143,2.71476,6.40607,0.000857,0.252502,0.001515,-1.379355447,6.396379485,72.7052
17,Point,29.7419,-85.3946,Debris,Poor: +/- 0.40 ,0.4,34675,10.42,0.015,HWMs,0,76.1,1.79813,-21670400000,0.000002,2,9.38195,7.95824,6.5382,0.003426,0.27918,0.003199,-7.024521254,6.517350994,73.2195
18,Point,29.76494,-85.30055,Seed line,Good: +/- 0.10 ,0.1,34808,10.53,4.29,HWMs,0,84.5,2.23521,5929290000,0.075505,0,0.066498,8.17986,7.10004,0.00479,0.340596,0.004323,-150.158737,7.069478644,78.3032
19,Point,29.73816,-85.30081,Seed line,Good: +/- 0.10 ,0.1,34821,10.92,5.45,HWMs,0,83.2,1.61679,1723360000,0.075505,0,0.200835,5.26683,7.13445,0.003353,0.356456,0.004453,-49.1208608,7.102821137,78.6173
20,Point,29.75483,-85.30012,Seed line,Good: +/- 0.10 ,0.1,34806,9.92,3.61,HWMs,0,83.8,1.65204,18960500000,0.075505,0,3.45022,5.82786,7.11894,0.004207,0.347006,0.004621,-31.36618542,7.086194694,78.4747
21,Point,29.81361,-85.303056,Seed line,Excellent: +/- 0.05 ,0.05,34458,10.72,1.62,HWMs,0,87.4,2.50362,1055630000,0.075505,0,1.35103,8.73817,6.94358,0.003107,0.309389,0.003482,-2.23374076,6.919486349,77.3329
22,Point,29.81349,-85.30526,Seed line,Excellent: +/- 0.05 ,0.05,34456,10.14,1.31,HWMs,0,87.4,1.98882,-185392000,0.075505,0,0.297437,7.5737,6.92416,0.001861,0.307698,0.002197,-32.62321111,6.908980969,77.3329
23,Point,29.81278,-85.301944,Seed line,Excellent: +/- 0.05 ,0.05,34462,11.01,1.56,HWMs,0,87.4,2.66459,338382000,0.075505,0,0.521362,9.00393,6.95219,0.003161,0.310777,0.003427,-17.41032722,6.928446215,77.3329
24,Point,29.81879,-85.306389,Seed line,Excellent: +/- 0.05 ,0.05,34796,0,0.6,HWMs,0,84.6,2.4754,0,0.075505,2,1.97141,7.6259,6.88726,0.005944,0.303615,0.005656,-0.127491253,6.848524744,77.0222
25,Point,29.82756,-85.31094,Seed line,Excellent: +/- 0.05 ,0.05,34454,10.25,2.385,HWMs,0,84.2,2.17888,-16979600000,0.075505,3,4.14916,8.41298,6.84099,0.003542,0.294712,0.003685,0.301281488,6.815873506,76.3714
26,Point,29.867266,-85.344971,Seed line,Excellent: +/- 0.05 ,0.05,34511,10.85,3.1,HWMs,0,77,2.06734,-10468700000,0.075505,18,0.62284,7.78323,6.48542,0.000293,0.243664,0.000591,1.747790937,6.481589381,73.1379
27,Point,29.876084,-85.348825,Debris,VP: > 0.40 ,0.4,34513,11.25,0,HWMs,0,76,2.66795,-2384780000,0.075505,2,7.2227,10.8234,6.42175,0.000546,0.23529,0.001433,0.220076867,6.4125608,73.1379
28,Point,29.845383,-85.32081,Seed line,Fair: +/- 0.20 ,0.2,34620,11.01,6.128,HWMs,0,81.5,1.47924,4093610000,0.075505,0,0.710629,4.90408,6.70871,0.003024,0.276122,0.002979,-11.6194902,6.688784112,75.0653
29,Point,29.84494,-85.32083,Seed line,Fair: +/- 0.20 ,0.2,34621,10.12,5.18,HWMs,0,81.5,1.31729,-1880060000,0.075505,1,1.75854,4.40938,6.70871,0.002653,0.276372,0.002618,-8.25E-12,6.691192458,75.0653
30,Point,29.838805,-85.316457,Seed line,Excellent: +/- 0.05 ,0.05,34329,11.18,5.52,HWMs,0,81.5,1.77593,1596540000,0.075505,0,2.79538,5.12529,6.76556,0.000803,0.283551,0.000859,27.72061131,6.759753372,76.0435
31,Point,29.852664,-85.337534,Seed line,Excellent: +/- 0.05 ,0.05,34508,9.94,3.265,HWMs,0,78,1.51369,-2185780000,0.075505,0,1.19452,6.48203,6.56888,0.001023,0.258374,0.001036,-3.951014008,6.562081683,74.0947
32,Point,29.848167,-85.325972,Seed line,Excellent: +/- 0.05 ,0.05,34331,10.1,3.64,HWMs,0,79.5,1.76583,4031970000,0.075505,2,0.410123,6.23756,6.66165,0.00272,0.270322,0.003189,0.692377209,6.64047353,75.0653
33,Point,29.94722,-85.41722,Seed line,Excellent: +/- 0.05 ,0.05,34681,18.69,2.86,HWMs,0,87.9,4.80971,5620330000,0.087392,0,0.267536,15.4234,5.85171,0.001378,0.137892,0.001454,-36.482076,5.843213967,67.7688
34,Point,29.94569,-85.41053,Seed line,Good: +/- 0.10 ,0.1,34258,17.28,2.5,HWMs,0,89.7,3.08475,5577050000,0.087392,1,1.6091,14.6328,5.88238,0.003233,0.144162,0.003318,-1.66E-12,5.862926809,68.2145
35,Point,29.945,-85.41306,Seed line,Good: +/- 0.10 ,0.1,34683,18.15,10.72,HWMs,0,86.3,1.09612,-888518000,0.087392,4,2.30259,7.50814,5.87038,0.001303,0.142552,0.00156,-0.540741934,5.861236471,68.2145
36,Point,29.945,-85.41056,Seed line,Good: +/- 0.10 ,0.1,34685,17.49,1.32,HWMs,0,86.3,3.59025,-622414000,0.087392,6,0.532517,16.0465,5.88238,0.002633,0.144552,0.002687,1.320460142,5.866616402,68.2145
37,Point,29.9252,-85.3882,Seed line,Fair: +/- 0.20 ,0.2,34579,21.16,0.42,HWMs,0,88,6.14957,-5972530000,0.087392,0,1.42621,20.9303,6.04005,0.000871,0.17432,0.000963,-1.456023593,6.034239028,69.5249
38,Point,29.9221,-85.3846,Debris,Poor: +/- 0.40 ,0.4,34587,20.35,0,HWMs,0,88,6.47486,-5210540000,0.087392,0,1.32641,21.1502,6.06239,0.001099,0.17906,0.001013,-2.493707357,6.056255014,69.8993
39,Point,29.921,-85.3837,Seed line,Poor: +/- 0.40 ,0.4,34597,16.5,1.92,HWMs,0,88,4.80784,-30781100000,0.087392,0,5.15735,16.8813,6.0851,0.00096,0.18044,0.000869,4.76855317,6.079816639,69.8993
40,Point,29.893799,-85.358803,Mud,Fair: +/- 0.20 ,0.2,34612,11.99,2.95,HWMs,0,76.5,2.9404,1724460000,0.213654,0,0.544435,9.86767,6.31428,0.001016,0.216678,0.001478,-16.51597768,6.304961267,71.8292
41,Point,29.893608,-85.357278,Seed line,Fair: +/- 0.20 ,0.2,34613,11.89,2.768,HWMs,0,76.5,2.81576,-445453000,0.213654,1,1.27837,9.01213,6.31428,0.002149,0.218013,0.002642,1.31E-11,6.297641631,71.8292
42,Point,29.8956,-85.3582,Seed line,Good: +/- 0.10 ,0.1,34698,11.87,0.18,HWMs,0,78.5,2.81576,-61415500,0.213654,1,0.850674,7.9343,6.30496,0.00255,0.21608,0.003002,3.81E-11,6.28608916,71.8292
43,Point,29.9015,-85.363,Seed line,Excellent: +/- 0.05 ,0.05,34700,14.21,3.47,HWMs,0,78.5,2.81576,0,0.213654,2,1.3275,8.34505,6.25385,0.002287,0.2087,0.00273,0.074719639,6.236823472,71.3359
44,Point,29.93677,-85.39336,Seed line,Excellent: +/- 0.05 ,0.05,34580,13.21,1.04,HWMs,0,88.3,3.68138,-2825210000,0.087392,1,1.35712,12.161,5.98086,0.005976,0.16325,0.006281,9.42E-12,5.943528696,68.6735
45,Point,29.93833,-85.40278,Seed line,Excellent: +/- 0.05 ,0.05,34691,16.6,6.41,HWMs,0,88.4,3.24498,0,0.087392,0,0.734596,6.46717,5.9416,0.000517,0.154778,0.001596,-11.07139428,5.932132317,68.6735
46,Point,29.8942,-85.3594,Seed line,Good: +/- 0.10 ,0.1,34694,12.14,2.02,HWMs,0,76.5,3.32691,-3319750000,0.213654,2,3.30163,11.6079,6.2885,0.000761,0.21596,0.001218,1.864912251,6.280849925,71.8292
47,Point,29.909,-85.37,Seed line,Good: +/- 0.10 ,0.1,34703,15.79,6.31,HWMs,0,81.2,3.0648,-860999000,0.213654,1,0.894975,10.0193,6.19502,0.002269,0.1986,0.002584,3.48E-11,6.179053326,70.7956
48,Point,29.9134,-85.3756,Seed line,Good: +/- 0.10 ,0.1,34705,17.03,2.61,HWMs,0,84.9,4.35469,3413150000,0.213654,5,0.846228,13.9336,6.14665,0.001329,0.19148,0.001348,0.618716348,6.13837547,70.4134
49,Point,29.9431,-85.3998,Seed line,Good: +/- 0.10 ,0.1,34470,14.23,1.07,HWMs,0,88.4,3.88349,2028420000,0.087392,0,0.519974,12.847,5.93945,0.001137,0.1543,0.007165,-17.46641579,5.897196586,68.6735
50,Point,29.94071,-85.39293,Seed line,Good: +/- 0.10 ,0.1,34571,13.46,1.25,HWMs,0,90.3,3.5796,-2164420000,0.087392,3,2.70739,11.1634,5.97311,0.006234,0.16123,0.009568,-1.028905028,5.916500919,68.6735
51,Point,29.93706,-85.39567,Seed line,Good: +/- 0.10 ,0.1,34581,14.45,2.57,HWMs,0,88.3,3.71536,-2363270000,0.087392,6,2.21731,12.1259,5.96761,0.004723,0.161228,0.005005,-0.587284604,5.937890856,68.6735
52,Point,29.93904,-85.39949,Seed line,Good: +/- 0.10 ,0.1,34583,15.29,3.18,HWMs,0,88.4,3.83891,339082000,0.087392,2,1.02052,12.8253,5.94696,0.002199,0.156984,0.004121,0.18467753,5.922553158,68.6735
53,Point,29.94083,-85.40667,Seed line,Fair: +/- 0.20 ,0.2,34687,18.93,4.83,HWMs,0,86.3,4.34317,-123682000,0.087392,0,0.176436,14.0123,5.90895,0.00127,0.150166,0.001313,-56.08843132,5.901201722,68.2145
54,Point,29.953,-85.4225,Seed line,Good: +/- 0.10 ,0.1,34473,16.98,2.062,HWMs,0,87.9,1.02926,-216065000,0.087392,1,0.83598,7.59107,5.81562,0.00422,0.1302,0.004598,3.92E-11,5.789002168,67.431
55,Point,29.9683,-85.468,Seed line,Good: +/- 0.10 ,0.1,34661,15.35,3.57,HWMs,0,91,2.30719,-345423000,0.087392,3,0.368021,11.015,5.62546,0.001688,0.08462,0.011392,1.237385555,5.562096596,65.5633
56,Point,29.95333,-85.42861,Seed line,Good: +/- 0.10 ,0.1,34658,17.47,4.29,HWMs,0,86.3,1.02436,-1607230000,0.087392,6,6.89205,11.9896,5.79364,0.001861,0.125114,0.003093,1.116060559,5.775775526,67.0136
57,Point,29.94917,-85.42028,Seed line,Good: +/- 0.10 ,0.1,34677,18.41,5.53,HWMs,0,87.9,3.77921,-3861310000,0.087392,1,2.41114,12.7872,5.84013,0.001608,0.134274,0.00194,-4.85E-11,5.828822085,67.431
58,Point,29.95,-85.41917,Seed line,Good: +/- 0.10 ,0.1,34679,16.99,4.75,HWMs,0,87.9,2.37515,127141000,0.087392,0,0.611948,11.1438,5.83346,0.00283,0.134664,0.003091,-14.24861917,5.815484338,67.431
59,Point,29.95194,-85.42083,Seed line,Good: +/- 0.10 ,0.1,34673,16.9,7.9,HWMs,0,87.9,0.747648,2381890000,0.087392,0,0.941255,6.44742,5.82213,0.003922,0.132172,0.004227,-7.284124562,5.797623446,67.431
60,Point,29.95111,-85.42361,Seed line,Good: +/- 0.10 ,0.1,34671,17.58,5.6,HWMs,0,86.3,3.59554,-3595090000,0.087392,1,0.744576,11.7611,5.81097,0.002043,0.130446,0.00244,4.71E-11,5.796825745,67.431
61,Point,29.95167,-85.42611,Seed line,Fair: +/- 0.20 ,0.2,34664,17.91,7.8,HWMs,0,86.3,3.22739,-3474070000,0.087392,1,1.21568,10.6307,5.79997,0.001703,0.12811,0.002191,1.61E-11,5.787290048,67.431
62,Point,29.9612,-85.4404,Debris,Fair: +/- 0.20 ,0.2,34590,18.27,0,HWMs,0,87.2,5.94666,7376770000,0.087392,1,3.63878,18.6932,5.72437,0.007272,0.11096,0.008393,8.00E-11,5.676725245,66.3001
63,Point,30.0542,-85.581,Debris,Poor: +/- 0.40 ,0.4,34586,13.08,0,HWMs,0,128.2,5.29537,3519310000,0.087392,2,0.832281,16.9824,5.4191,0.001703,0.05732,0.010974,0.274048895,5.360276328,61.8287
64,Point,30.0678,-85.6056,Seed line,Good: +/- 0.10 ,0.1,34588,11.54,2.6,HWMs,0,140.5,2.22145,520681000,0.087392,5,0.494381,7.09365,5.42959,0.000894,0.08516,0.009697,1.296721144,5.377444917,61.4278
65,Point,30.093323,-85.646443,Debris,Poor: +/- 0.40 ,0.4,34761,10.21,0,HWMs,0,177.7,2.73426,-1524660000,0.000002,521,2.34849,9.22519,5.47303,0.001503,0.133148,0.016825,-2.675293281,5.382469943,60.8351
66,Point,30.15033,-85.74781,Seed line,Excellent: +/- 0.05 ,0.05,34786,1.85,0.62,HWMs,0,228.9,1.48242,-542393000,0.136067,156,0.585638,5.09434,4.76677,0.000491,0.248446,0.011898,3.306600999,4.710721832,60.6114
67,Point,30.158323,-85.669227,Seed line,Fair: +/- 0.20 ,0.2,34783,7.83,0.41,HWMs,0,201.6,2.19206,-1452130000,0.136067,7,1.19998,6.71675,5.61333,0.000209,0.190375,0.066978,0.328576309,5.260961332,60.716
68,Point,30.163342,-85.683023,Debris,Fair: +/- 0.20 ,0.2,34784,5.74,0,HWMs,0,211.9,1.69006,9588890000,0.136067,10,2.602,4.46555,5.57458,0.000005,0.204424,0.063717,-1.669794621,5.240660815,60.7131
69,Point,30.165891,-85.701276,Debris,Poor: +/- 0.40 ,0.4,34785,4.52,0,HWMs,0,224.8,1.50242,349719000,0.136067,5,2.71817,4.12144,5.45695,0.000121,0.220555,0.053573,-1.550909054,5.179470241,60.7529
70,Point,30.137619,-85.720986,Debris,Fair: +/- 0.20 ,0.2,34835,4.98,0,HWMs,0,244,1.105,28457300000,0.136067,2,1.81249,4.41577,5.18493,0.000223,0.21936,0.019299,-0.074207672,5.086760607,60.6024
71,Point,30.17033,-85.70161,Seed line,Good: +/- 0.10 ,0.1,34800,3.89,5.44,HWMs,0,224.8,1.48177,12795100000,0.136067,21,0.620914,4.67221,5.41809,0.000038,0.223486,0.056888,1.848508675,5.126456162,60.7529
72,Point,30.1272,-85.6034,Debris,Fair: +/- 0.20 ,0.2,34747,5.91,0,HWMs,0,161,2.55313,10926600000,0.087392,1,1.85403,8.78486,5.51625,0.000099,0.11904,0.064925,-1.26E-11,5.179942249,60.978
73,Point,30.148252,-85.627743,Debris,Fair: +/- 0.20 ,0.2,34751,6,0,HWMs,0,172.1,0.690102,1289840000,0.136067,2,7.26923,4.32393,5.57746,0.000207,0.151146,0.074621,0.199276126,5.190164719,60.781
74,Point,30.142317,-85.648636,Seed line,Good: +/- 0.10 ,0.1,34781,6.85,1.96,HWMs,0,186.1,1.52321,9244430000,0.136067,1,0.733204,4.17577,5.60213,0.000509,0.164299,0.061423,4.82E-11,5.277942912,60.7335
75,Point,30.1456,-85.6574,Seed line,Good: +/- 0.10 ,0.1,34782,5.93,0.82,HWMs,0,195.1,1.37427,13863400000,0.136067,2,1.21337,4.46914,5.60974,0.0003,0.17328,0.060911,0.112424884,5.28766315,60.7158
76,Point,30.1179,-85.5969,Debris,Fair: +/- 0.20 ,0.2,34746,7.11,0,HWMs,0,155,2.37505,-216841000,0.087392,2,2.8155,7.26123,5.4998,0.000396,0.10826,0.05909,-0.890186964,5.192948663,60.978
77,Point,30.18783,-85.74167,Debris,Fair: +/- 0.20 ,0.2,34362,4.54,0,HWMs,0,216.5,0,0,0.136067,518,0.320752,-46.4786,4.78438,0.004725,0.266034,0.045511,8.170174783,4.576116368,60.8399
78,Point,30.176,-85.70692,Debris,Poor: +/- 0.40 ,0.4,34797,4.71,0.05,HWMs,0,223.5,1.76453,7895800000,0.136067,0,3.85409,4.90317,5.37198,0.000102,0.231136,0.057843,-11.57567678,5.078239398,60.7588
79,Point,30.27494,-85.98825,Seed line,Excellent: +/- 0.05 ,0.05,34749,4.53,1.82,HWMs,0,120.9,0,-6713910000,0.027378,2,5.22007,3.03015,4.69814,0.003056,0.515564,0.008755,-0.167468437,4.657364771,59.2071
80,Point,30.384641,-85.556593,n,n,0,2359500,0,5.532604,Stream,6.4874,241.4,1.6937,25946300000,0.207519,0,1.60538,13.3614,5.25777,0.000182,0.233849,0.314223,0.345974676,4.000668075,59.3561
